Einsum,fusion_group,runtime,mem_latency,comp_latency,Memory_Utilization,Compute_Utilization,total_traffic,Starting_Time,Time_Stamp,End_Time
A,fg1,0.2,0.12664,0.07336,1.0,0.75,1000000000.0,0.0,0.0,0.2
B,fg1,0.02,0.015263,0.004737,0.0,0.25,0.0,0.2,0.2,0.22
C,fg1,0.05,0.010023,0.039977,0.25,0.75,100000000000.0,0.22,0.22,0.27
D,fg1,0.2,0.159065,0.040935,0.75,0.25,100000000000.0,0.27,0.27,0.47
E,fg2,0.01,0.005705,0.004295,0.0,0.25,100000000000.0,0.47,0.47,0.48
F,fg2,0.05,0.02835,0.02165,0.75,0.75,500000000000.0,0.48,0.48,0.53
G,fg2,0.05,0.010212,0.039788,0.25,1.0,0.0,0.53,0.53,0.58
H,fg2,0.2,0.042767,0.157233,0.25,0.25,500000000000.0,0.58,0.58,0.78
I,fg3,0.2,0.102973,0.097027,0.0,0.25,500000000000.0,0.78,0.78,0.98
J,fg3,0.01,0.004399,0.005601,0.25,0.75,0.0,0.98,0.98,0.99
K,fg3,0.2,0.0456,0.1544,1.0,0.25,0.0,0.99,0.99,1.19
L,fg4,0.01,0.007843,0.002157,0.25,0.25,0.0,1.19,1.19,1.2
M,fg4,0.01,0.003397,0.006603,0.75,0.75,0.0,1.2,1.2,1.21
N,fg4,0.05,0.012718,0.037282,0.75,0.75,100000000000.0,1.21,1.21,1.26
O,fg5,0.02,0.011421,0.008579,0.75,0.0,50000000000.0,1.26,1.26,1.28
P,fg5,0.01,0.004295,0.005705,0.75,1.0,50000000000.0,1.28,1.28,1.29
Q,fg5,0.1,0.078994,0.021006,1.0,1.0,0.0,1.29,1.29,1.39
R,fg5,0.05,0.024003,0.025997,0.5,0.25,50000000000.0,1.39,1.39,1.44
S,fg5,0.2,0.143193,0.056807,0.0,1.0,50000000000.0,1.44,1.44,1.64
